Question;Answer;AnswerPl;Type;Qualification;IsActive
What are Zones?;The "zone" is a common place for storing the execution context informations about asynchronous operations that are run in it.;"Zone" jest wspólnym miejscem przechowywania informacji (execution context) o asychronicznych taskach, które są w nim uruchomione.;Angular;;true
What are the elements of the CSS Box Model?;The elements are content (like text and images), padding (the area around content), border (the area around padding), and margin (the area around the border);Elementy to content (np. tekst i obrazy), padding (obszar wokół treści), bordery (obszar wokół paddinga), i marginesy (obszar wokół obramowania);CSS;;true
How can we lazy load Component?;We can do this with const {GreetComponent} = await import ('./ greet.component') and create it dynamically using ComponentFactoryResolver.resolveComponentFactory (GreetComponent);Tak, możemy to zrobić za pomocą const { GreetComponent } = await import('./greet.component') i stworzyć go dynamicznie używając serwisu ComponentFactoryResolver.resolveComponentFactory(GreetComponent);Angular;;true
What are the key HTML5 page structure elements?;<header> header or top of the page, <footer> fotter or bottom of the page, <section> one section that is thematically similar to other sections, <article> standalone content, <nav> navigation functionality;<header> nagłówek lub góra strony, <footer> fotter lub dół strony, <section> sekcja, która jest tematycznie podobna do innych sekcji, <article> samodzielna treść, <nav> funkcja nawigacji;CSS;;false
What is Observable?;Observable is a stream of data that we expect in some further point in time. The Observable type itself helps us with handling of asynchronous operations.;Observable to są strumienie danych, których spodziewamy się po jakimś czasie. Sam Observable typ, który pomaga nam w obsłudze zdarzeń asynchronicznych.;Angular;;true
What is Continuous Delivery?;Continuous Delivery is a practice in which teams produce software in short cycles, as well as the process of transferring this software to the production environment. Usually, after completing the development of a given functionality, the code is built and transferred to test environments, which then are tested on these environments using as much automation as possible. Later, a decision is made to transfer the functionality to the production environment.;Continuous Delivery to praktyka, w której zespoły wytwarzają oprogramowanie w krótkich cyklach, jak i sam proces przenoszenia tego oprogramowania na środowisko produkcyjne. Zazwyczaj jest tak, że po zakończeniu developmentu danej funkcjonalności buduje się kod i przenosi się na środowiska testowe, które następnie używając jak największej automatyzacji jest testowane na tych środowiskach. Później podejmowana jest decyzja o przeniesieniu funkcjonalności na środowisko testowe.;Angular;;true
What is REST?;REST is an API design concept which consists of certain requirements, ie 1. Client-Server - client and server are separated. The client should not be interested in how the data is generated on the server and likewise the server should not know e.g. how the data is presented to the user. 2. Stateless - each query must provide all the information needed for the server to understand, rather than rely on the values ​​provided in previous requests. Holding a session on the server violates this rule, so the session must be held entirely by the client. 3. Layered-system - it's about the division of responsibilities, each layer should have a specific purpose. For example, we cannot return the <div> HELLO </div> message from the server because we are mixing the layer that generates the data with the presentation layer. 4. Resource identification - the request must define what resources it wants to obtain (via URL). 5. Manipulating resources through their representation - The client has a resource representation (eg URL + metadata) and on this basis he can manipulate data on the server side, using eg POST, PATCH, PUT, DELETE. 6. Self-described message - each request must contain information on how to process it, eg whether it is in the form of json or xml, the header must have this information. 7. Cacheable - an explicit or implicit response must state whether the data is cacheable or noncountable. Good cache management can make a lot of unnecessary client-server interaction.;REST jest to koncepcja projektowania API, która składa się z pewnych wymogów, tj. 1. Client-Server - klinet i serwer są odseparowani. Klient nie powinein być zainteresowany jak dane są generowane na serwerze i analogicznie serwer nie powinien wiedzieć np. jak przedstawia się dane dla użytkownika. 2. Bezstanowość - każde zapytanie musi powiadać wszystkie informacje potrzebne do zrozumienia przez serwer, niż polegać na wartościach przekazanych we wcześniejszych requestach. Przetrzymywanie sesji na serwerze narusza tą zasadę, więc sesja musi być trzymana w całości przez klienta. 3. Layered-system (system warstwowy) - chodzi o podział obowiązków, każda warstwa powinna mieć określony cel. Np. nie możemy zwrócić z serwera wiadomośći <div>HELLO</div>, ponieważ mieszamy warstwe, która generuje dane z warstwą prezentacji. 4. Identyfikacja zasobów - request musi określić jakie zasoby chce pozysąc (przez URL). 5. Manipulacja zasobami przez ich reprezentację - Klient ma reprezentację zasobu (np. URL+metadane) i na jej podstawie może manipulować danymi po stronie serwera, używając np. POST, PATCH, PUT, DELETE. 6. Samoopisana wiadomość - każdy request musi zawierac informację jak go przeprocesować, np. czy jest w postaci jsona lub xml, header musi mieć tą informację. 7. Cacheable - odpowiedź w sposób jawny lub niejawny musi określić czy dane są cachowalne czy niecachowalne. Dobre zarządzanie cachem może sporo niepotrzebnej interacji klient-serwer.;OOP;;true
What is the communication method Redux -> Angular?;We dispatch the actions that are analyzed by the Reducer, which appropriately replaces the Store state depending on the action.;Dispatchujemy akcje, które są analizowane przez Reducer, który odpowiednio podmienia stan Store'a w zależności od akcji.;Angular;;false
How trackBy works?;In trackBy, we provide a function that will be used to identify the object from the * ngFor array. If we display the array in the * ngFor loop, and then assign a completely new array to the variable with already existing records from the previous array, then without the trackBy function, the entire array will be re-rendered in the view. If we give the appropriate function in trackBy, thanks to it Angular will check if a given row already exists in the previous table and if the record has not changed, it will not render it again.;W trackBy podajemy funkję, która będzie używana do zidentyfikowania obiektu z tablicy *ngFor. Jeżeli wyświetlamy tablicę w pętli *ngFor, po czym pod zmienną przypiszemy kompletnie nową tablicę zawierającą już istniejące rekordy z wcześniejszej tablicy to bez funkcji trackBy cała tablica zostanie na nowo zrenderowana na widoku. Jeżeli podamy odpowiednią funkcję w trackBy, dzięki niej Angular będzie sprawdzał czy dany wiersz już istnieje we wcześniejszej tablicy i jeżeli rekord się nie zmienił nie będzie go ponownie renderował.;Angular;;true
What are the advantages of ChangeDetection.OnPush?;1. Performance - Components are not checked if OnPush conditions are not met. 2. It prevents updating the state of presentation components in a different way than they should update - by receiving data from a container-component or by broadcasting an event.;1. Wydajność - komponenty nie są sprawdzane jeżeli warunki OnPush nie są spełnione. 2. Zapobiega uaktualniania stanu komponentów prezentacyjnych w inny sposób niż powinny się uaktualniać - poprzez otrzymanie danych z komponentyu-kontenera lub wyemitowaniu eventu.;Angular;;false
What runs first Promise or setTimeout?;Promise.resolve schedules a microTask and the setTimeout schedules a macrotask. MicroTasks are executed before macroTasks in Callback Queue.;Promize.resolve wywołuje microTask, a setTimeout wywołuje macroTask. MicroTaski wytwoływane są przed MacroTaskami w Callback Queue.;JavaScript;;true
What are the types of Injectors?;1. ModuleInjector - Defined in the module using @NgModule (providers: []) or @Injectable (providedIn: {module_name}) 2. ElementInjector - Defined in the providers' proposition in the @Compnent() or @Directive() decorator.;1. ModuleInjector - definiowany w module za pomocą @NgModule(providers:[]) lub @Injectable(providedIn:{nazwa_modułu}) 2. ElementInjector - definiowane w propecji providers w dekoratorze @Compnent() lub @Directive().;Angular;;false
What is Application Shell?;Application shell is a way to render parts of an application using 'route at build time' (?). It can improve the user experience by quickly launching a statically rendered page while the browser downloads full client version and switches to it automatically after the code is downloaded. This gives the user a meaningful first paint of your application that appears quickly because the browser renders HTML and CSS without needing to initialize any JavaScript.;Application shell jest sposobem na renderowanie części aplikacji używając 'route at build time'(?). Może polepszyć user experience poprzez szybkie uruchamianie statycznie renderowanej strony podczas kiedy przeglądarka ściąga full client version i przełącza się na niego automatycznie po tym jak kod się ściągnie. To daje użytkownikowi meaningful first paint Twojej aplikacji, która pojawia się szybko ponieważ przeglądarka renderuje HTML i CSS bez potrzeby to initialize any JavaScript.;Angular;;false
What is CSS?;CSS, or Cascading Style Sheet, is a style sheet language used with HTML to format and display the elements specified in HTML document. While HTML defines the structure of a page, CSS specifies the document’s style, including page layout, colors, fonts, etc.;CSS, czyli Cascading Style Sheet, to język arkuszy stylów używany z HTML do formatowania i wyświetlania elementów określonych w dokumencie HTML. Podczas gdy HTML definiuje strukturę strony, CSS określa styl dokumentu, w tym układ strony, kolory, czcionki, itd.;CSS;;true
What is tree-shaking?;This defines a process during application building in which unused code is not included in the package being built, thus making the package smaller.;W ten sposób określa się proces podczas budowy aplikacji, w którym nieużywany kod nie jest dołączany do budowanej paczki, przez co ma ona mniejszy rozmiar.;Angular;;true
Why Unit Tests? (why tests);To test the functionality of our code, e.g. whether our code works as a pointer or not. I also liked writing them so that no one would break my code. If the code that I originally wrote suddenly stops working because someone has changed something, it will be picked up by unit tests.;Żeby przetestować funkcjonalność naszego kodu, np. czy nasz kod działa jak poinien czy nie. Ja lubiłem też pisać je żeby nikt nie psuł mojego kodu. Jeżeli kod, którego początkowo byłem autorem nagle przestanie działać, bo ktoś coś w nim zmienił, zostanie to wychwycone przez unit testy.;Testing;;true
Why is composition over inheritance preferable?;The rule of thumb is to prefer composition to inheritance, but don't always use it, although I've heard of developers who always consider composition because they think it's always better to replace inheritance with composition. I disagree, I think that when an object needs the entire interface of another object, if we design it around what it is, then we tend to inherit, if the object only wants some part of another object, or when we design it around that what it does then the composition is recommended. Often a composition is recommended over inheritance because it is easier to modulate later, with composition easier to change behavior by Dependency Injection or Setter, inheritance is more rigid. Example - RobotA inherits from Robot and has a driving method because all robots are driving. Shepherd inherits from Pies because all dogs are barking. If we want to create a SuperRobot that drives and barks, so as not to make a very complicated inheritance structure, our SuperRobot class adopts the Dog dog object and the Robot robot object through the composition and its methods are defined around these objects - Rides () {robot. Rides () } and Bark () {dog.Bitch ()};Zasada jest taka, aby preferować kompozycję od dziedziczenia, ale nie używać jej zawsze, choć słyszałem o developerach, którzy uważają kompozycji zawsze bo uważają, że zawsze lepiej zastąpić dziedziczenie kompozycją. Ja się z tym nie zgadzam, uważam, że w przypadku kiedy obiekt potrzebuje całego interfejsu innego obiektu, jeżeli projektujemy go wokół tego czym jest, wtedy chylimy się w stronę dziedziczenia, jeżli natomiast obiekt chce tylko jakąś część innego obiektu lub kiedy projektujemy go wokół tego co robi wtedy zalecana jest kompozycja. Często kompozycja zalecana jest nad dziedziczeniem ponieważ jest łatwiejsza do modycikacji później, z kompozycją łatwiej zmienić zachowanie przez Dependency Injection albo Settery, dziedziczenie jest bardziej sztywne. Przykład - RobotA dziedziczy po Robot i ma metodę jeździ bo wszystkie roboty jeżdzą. Owczarek dziedziczy po Pies bo wszystkie psy szczekają. Jeżeli chcemy stworzyć SuperRobota, który i jeździ i szczeka to żeby nie robić bardzo skomplikowanej struktury dziedziczenia to nasza klasa SuperRobot przyjmuje przez kompozycję obiekt Pies pies i obiekt Robot robot i jej metody zdefiniowane są wokół tych obiektów - Jeździ(){robot.Jeździ()} i Szczeka(){pies.Szczeka()};OOP;;true
What is the difference between Observable and Subject? (observable vs subject, subject vs observable);First of all, Observable is unicast, ie each subscriber gets copies of the observables, Subject is multicast, ie many subscribers share the same stream. Subject can also be an observer.;Przede wszystkim Observable jest unicast, tzn. każdy subskrybent dostaje kopie observabli, Subject jest multicast, tzn. wielu subskrybentów dzieli ten sam stream. Subject może być również observerem.;Angular;;true
What is a box model?;Each HTML element is interpreted by CSS as a rectangle (box). Each box has content, padding, border and margin, the values ​​of which we can specify.;Każdy element HTML jest interpretowany przez CSS jako prostokąt (pudełko). Każde pudełko ma content, padding, border i margin, którego wartości możemy określać.;CSS;;false
What is mergeMap and how does it work?;mergeMap is a Higher-order mapping operator. It is used to support nested Observables. Each newly issued source Observable parallelly refers to the internal Observable without waiting for its predecessor, so it can run a bit faster, but we don't get the data in any particular order on the output.;mergeMap jest operatorem typu Higher-order mapping. Służy do obsługi zagnieżdżonych Observabli. Każdy nowo wyemitowany źródłowy Observable rónolegle odwołuje się do wewnętrznego Observabla nie czekając na poprzednika, przez co może działać odrobinę szybciej, ale na wyjściu nie otrzymujemy danych w konkretnej kolejności.;Angular;;false
What are local redirects and what are absolute ones?;Lokalne redirecty zmieniają pojedyńczy segment URL, natomiast absolutne zmieniają cały URL.;Lokalne redirecty zmieniają pojedyńczy segment URL, natomiast absolutne zmieniają cały URL.;Angular;;false
What is Notifications API?;API that allows websites to control the display of system notifications to the user.;API, które pozwala stronom internetowym kontrolować wyświetlanie systemowych notyfikacji dla użytkownika.;Angular;;false
What is z-index?;z-index is used to specify the order of elements that overlap each other. Its default value is zero and can take both negative and positive values. A higher z-index value is stacked above the lower index element.;z-index służy do określenia kolejności nakładających się elementów. Jego wartość domyślna to zero i może przyjmować zarówno wartości ujemne, jak i dodatnie. Wyższa wartość z-index'u jest umieszczana nad niższą wartością.;CSS;;true
Why do we need compileComponents?;napisać;napisać;Testing;;true
What is RxJS?;RxJS is a library for creating asynchronous programs using observabli.;RxJS to biblioteka do tworzenia asynchronicznych programów przy użyciu observabli.;Angular;;true
What code do you put in a component and which in a service?;I limit code in a component to only what the view requires. We place all the remaining code on the website.;Kod w komponencie należy ograniczyć tylko do tego, wymaganego przez widok. Cały pozostały kod umieszczamy w serwisie.;Angular;;false
What are the properties of Interpolation?;-can not change the state of the application, cannot change any data, -must be quick and simple, without any business logic, -idempotent - i.e. how many times we call the same, the obtained value will be the same.;-nie może zmieniać stanu aplikacji, nie może zmieniać żadnych danych, -musi być szybkie i proste, bez żadnej logiki biznesowej, -idempotentny - tzn, że jak wiele razy wywołamy to samo to otrzymana wartość będzie taka sama.;Angular;;true
What are @HostListener's properties?;- @HostListener is an Angular decorator that is used to listen for DOM events on a Component's host element or Directive's host element (e.g. <div onlyMyBeacon>). - @HostListener() starts listening as the directive is initialized and stops listening automatically as the directive is removed. - @HostListener catches and listens for events from childrens or nested items when the event is bubbled to the item host.;- @HostListener jest decoratorem Angulara, który jest używany do nasłuchiwania eventów DOMu na host elemencie dyrektywy Componentu albo zdefiniowanego atrybutu (np. <div onlyMyBeacon>). - @HostListener() zaczyna nasłuchiwanie jak dyrektywa jest zainicjalizowana i przestaje nasłuchiwać automatycznie jak dyrektywa jest usunięta. - @HostListener łapie i nasłuchuje do eventów z childrenów albo nested elementów kiedy event jest bubblowany do host elementu.;Angular;;false
What are the advantages of TypeScript? (TypeScript benefits, TypeScript advantages));1. Cross-platform - can be installed on any operating system. 2. Object-oriented - has classy, ​​interface, and modules. 3. Strict Type-Checking while writing an application helps to detect errors before the application is launched.;1. Cross-platform - może być zainstalowany na każdym systemie operacyjnym. 2. Object-oriented - ma classy, interface, i moduły. 3. Strict Type-Checking podczas pisania aplikacji pomaga w wykrywaniu błędów zanim zostanie uruchomiona aplikacja.;TypeScript;;true
What is Serialization? (Serializacja);It is the process of transforming objects (such as instances of certain classes) into a stream of bytes, maintaining the state of the object. The reverse process is the deserialization process. We use those processes in: 1. In memory we keep serialized data. 2. Http uses serialization when transmitting data through a web browser. 3. Video streaming - in an applitcation that involves video streaming, the video is broken down in packets, which are a collection of bytes transmitted serially to the client. In TypeScript you can call the JavaScript function JSON.stringify to serialize an object to a JSON string and JSON.parse deserializes the JSON string to an object.;To proces przekształcania obiektów (takich jak np instancji określonych klas) w strumień bajtów, z zachowaniem stanu obiektu. Procesem odwrotnym jest deserializacja. Używamy tych procesów w: 1. W pamięci trzymamy serializowane dane. 2. Http używa serializacji do przesyłania danych przez przeglądarkę. 3. Streamowanie video - w aplikacji zawierającej streaming video, to video jest podzielone na pakiety, które są kolekcją bajtów przesyłanych seryjnie do klienta. W TypeScriptcie możemy użyc funkcji JavaScriptowej JSON.stringify do serializacji obiejtów do stringa i JSON.parse do deserializacji stringa do obiektu.;TypeScript;;true
Why forRoot and forChild?;If we want our module to provide a service that will be provided only once in the application, then we define various possibilities of importing such a module. forRoot and forChild will import the module with all necessary things, but forRoot will additionally provide this service. Use forRoot / forChild convention only for shared modules with providers that are going to be imported into both eager and lazy module modules. https://indepth.dev/posts/1056/avoiding-common-confusions-with-modules-in-angular;Jeżeli chcemy, żeby nasz moduł providował serwis, który będzie tylko raz providowany w aplikacji, wtedy definiujemy różne możliwości importu takiego modułu. forRoot i forChild będzie importował moduł ze wszystkimi niezbędnymi rzeczami, ale forRoot będzie dodatkowo jeszcze providował ten serwis. Use forRoot/forChild convention only for shared modules with providers that are going to be imported into both eager and lazy module modules. https://indepth.dev/posts/1056/avoiding-common-confusions-with-modules-in-angular;Angular;;false
What are pipes? (What is pipe);Pipes are functions that transform data before displaying it. If we have a data type that must be displayed in a certain way in many places in our application, we declare a pipe for it, which modifies it in the view before displaying it.;Pipes są to funkcje, które służą do transormacji danych przed ich wyświetleniem. Jeżeli mamy typ danych, który w wielu miejscach naszej aplikacji musi być wyświetlany w określony sposób to deklarujemy dla niego pipe, który na widoku modyfikuje go przed wyświetleniem.;Angular;;true
What are CSS Image Sprites? (CSS Sprites);An image sprite is a collection of images put into a single image. A web page with many images can take a long time to load and generates multiple server requests. Using image sprites will reduce the number of server requests and save bandwidth.;CSS Sprites to technika pozwalająca na łączenie wielu mniejszych obrazów, wykorzystywanych na stronie www, w jeden większy plik, dzięki czemu zmniejszymy czas ładowania strony oraz zapobiegniemy nieprzyjemnym efektom "doładowywania" się brakujących grafik.;CSS;;true
What are the different types of CSS Selectors?;Universal Selector, Element type Selector, ID selector, Class selector, Descendant combinatory, Child Combinator, General Sibling Combinator, Adjacent sibling combinator, and Attribute selector.;Selektor uniwersalny, selektor typu elementu, selektor identyfikatora, selektor klasy, kombinator potomków, kombinator podrzędny, kombinator ogólnego rodzeństwa, kombinator sąsiadującego rodzeństwa i selektor atrybutów.;CSS;;true
What is Interpolation?;Interpolation is one-way binding from Component class to it's template.;To jednokierunkowe bindowanie z klasy komponentu do template'a.;Angular;;true
Tell us about the general CSS nomenclature.;In CSS, the styling is written in value and property fashion. The entire style is wrapped in curly braces and attached to the selector. This creates a style sheet that can be applied to an HTML page.;W CSS stylizacja jest napisana w oparciu o propercje i ich wartości. Całość owinięta jest w nawiasy klamrowe i przypisana do selektora. Tworzy to arkusz stylów, który można zastosować do strony HTML.;CSS;;false
What are the dependency resolution modifiers in Dependency Injection?;@Optional() - when dependencies are not found, null is returned instead of throwing an exception, @SkipSelf() - dependency searches start from the parent, @Self() - dependency searches are performed only in the current element, @Host() - dependency searches will only take place in the element's Injector or in the element's parent Injector. Angular names the parent element as 'host'.;@Optional() - kiedy zależności nie zostanie znaleziona zwracany jest null zamiast rzucanego wyjątku, @SkipSelf() - poszukiwania zależności zaczynają się od rodzica, @Self() -  poszukiwania zależności odbywają się tylko w aktualnym elemencie, @Host() - poszukiwania zależności odbędą się tylko w Injectorze elementu lub w Injectoerze parent elementu. Angular nazywa parent element jako 'host'.;Angular;;false
What are the ways to load modules?;-Eager Loading, -Lazy Loading, -Preloading (Eager Lazy Loading, doesn't work with canLoad route guard).;-Eager Loading, -Lazy Loading, -Preloading (Eager Lazy Loading, nie działa z Guardem canLoad).;Angular;;false
When do we create separate Component? (new component/nowy component);If the element has: 1. Own logic of interaction with the user. 2. Complicated layout or animations. 3. Any method that may make it difficult to understand parent Compnent's logic. 4. It differs visually.;Jeżeli element posiada: 1. Własną logikę interakcji z użytkownikiem. 2. Skomplikowany layout lub animacje. 3. Jakąkolwiek metodę, która może utrudnić zrozumienie logiki parent Compnentu. 4. Różni się wizualnie.;Angular;;true
What is the difference between fakeAsync and waitForAsync?;Both are test tools that are aimed at assisting in testing asynchronous functionality. In fakeAsync we can control the passage of time using tick() and clear macroTask and microTasks queues using flush() and flushMicrotasks(). waitForAsync supports actual http requests, fakeAsync doesn't. I prefer using fakeAsync to test asynchronous code. fakeAsync allows us to write tests that are easier to read without the need of using nested code. waitForAsync will handle promises fine, but not very well for example with setTimeout() or debounce. fakeAsync, on the other hand, does just that. You can use it with both promise, setTimeout, and practicly any type of asynchronous code where waitForAsync is only able to work with promises.;fakeAsync i waitForAsync służą to pomocy w testowaniu asynchronicznej funkcjonalności. W fakeAsync możemy kontrolować upływ czasu używając funkcji tick() i czyścić kolejkę macroTasków i microTasków używając funkcji flush() i flushMicrotasks(). waitForAsync umożliwia robienie http requestów, w fakeAsync nie jest to możliwe. Preferuję używanie fakeAsync do testowania asynchronicznego kodu. fakeAsync umożliwia nam pisanie testów, które są czytelniejsze bez potrzeby użycia zagnieżdżonego kodu. waitForAsync poradzi sobie z promisami w porządku ale nie poradzi sobie dobrze np. z setTimeout() lub debounce. fakeAsync natomiast dobrze sobie z tym radzi. Można go używać zarówno z promise, setTimeout i praktycznie z każdym typem asynchronicznego kodu, kiedy waitForAsync jest w stanie pracować tylko z promisami.;Testing;;true
What is Type Assertion in TypeScript?;Type assertion is used to determine the type of a value.;Type assertion działa jak rzutowanie (casting) i jest używane żeby określić typ dla wartości.;TypeScript;;true
What is True mock?;These are more complicated objects that verify whether they were used exactly in a specific way, e.g. they can check whether only a specific method was called, whether it was run only once and whether it had specific parameters. They are hard to work with and usually an excess of what the unit test needs.;Są to bardziej skomplikowane obiekty, które weryfikują czy zostały użyte dokładnie w konkretny sposób, np. mogą sprawdzić czy tylko konkretna metoda została wywołana, czy została uruchomiona tylko raz i czy miała konkretne parametry. Są ciężkie do pracy i zazwyczaj są nadmiarem tego czego unit test potrzebuje.;Testing;;false
Explain cookies vs localStorage. (localStorage vs cookies);Using localStorage, web applications can store data locally in the browser. Before HTML5, application data was automatically sent in cookies with each request to the server. localStorage is more modern, however there are different pros and cons to both technologies. Cookies: - entered before HTML5, - have an expiration date, - cleared after the expiration date, - are sent with each request to the server, - have a 4KB limit, - can only hold strings, localStorage: - introduced with HTML5, - no expiration date , -cleared by JavaScript, -select what date is to be sent to the server, -limit up to 5MB.;Za pomocą localStorage, aplikacje webowe mogą przetrzymywać dane lokalnie w przeglądarce. Przed HTML5 dane aplikacji były automatycznie wysyłane w cookies z każdym requestem do serwera. localStorage jest bardziej nowoczesny, jednak są różne zalety i wady (pros and cons) do obu technologii. Cookies: -wprowadzone przed HTML5, -mają datę wygaśnięcia, -czyszczone po dacie wygaśnięcia, -są wysyłane z każdym requestem do serwera, -mają limit 4KB, -mogą przetrzymywać tylko stringi, localStorage: -wprowadzone z HTML5, -nie ma daty wygaśnięcia, -czyszczone przez JavaScript, -należy wybrać jaka data ma być wysłana do serwera, -limit do 5MB.;JavaScript;;false
How does the unknown type work? (typ unknown, unknown typ);It is similar to the any type. You can assign all types to it, but you cannot assign the uknown value to variables with a type other than unknown or any without casting (casting).;Działa podobnie do typu any. Można przypisać do niego wszystkie typy, jednak nie można przypisać wartości uknown do zmiennych z innym typem niż unknown lub any bez rzutowania (casting).;TypeScript;;true
What are CSS custom properties or CSS variables?;Custom properties are entities that contain values to be reused throughout a document so we often refer to them as CSS variables. --some-color: #990000 .card {color: var(--some-color) };Custom properties zawierają wartości, umożliwiające reużywanie ich w dokumencie, więc często odnosimy się do nich jako zmienne CSS. --some-color: #990000 .card {color: var(--some-color) };CSS;;true
What are Higher-order mappings operators?;The xxxMap() family of operators. Each of these operators maps each value from the source Observable to the nested one, automatically subscribing to it, broadcasting the results, and unsubscribing when the upload is complete.;Rodzina operatorów xxxMap(). Każdy z tych operatorów mapuje każdą wartość ze źródłowego Observable to zagnieżdzonego, automatycznie subskrybująć do niego, emitując wyniki i odsubskrybując po zakończeniu przesyłu.;Angular;;false
Describe inline/block/block-inline.;1. Inline elements: respect left & right margins and padding, but not top & bottom, cannot have a width and height set, allow other elements to sit to their left and right. 2. Block elements: respect all of those, force a line break after the block element, acquires full-width if width not defined. 3. Inline-block elements: allow other elements to sit to their left and right, respect top & bottom margins and padding, respect height and width.;1. Elementy inline: uwzględnia left i right marginesy i padding, ale nie top i bottom,  nie może mieć ustawionego width i height, elementy inline ustawiane są obok siebie. 2. Elementy block: uwzględniają wszystkie te wartości, wymuszają znak nowej linii po elemencie block, rezerwują całą długość jeżeli propercja width nie jest ustawiona. 3. Elementy inline-block: ustawione są obok siebie, uwzględniają top, bottom, marginesy, padding, height, i width.;CSS;;true
What is the difference between an abstract class and an interface?;1. In an abstract class, both the declarations and definitions can be implemented, while in the interface there are only declarations. 2. You can inherit from only one abstract class, you can use on many interfaces. 3. We cannot define fields in the interface. 4. In the interface we cannot use any access modifiers because everything declared in it is public. 5. Declarations in the interface cannot be defined as static, virtual, abstract or sealed.;1. W klasie abstrakcyjnej zarówno same deklaracje jak i definicje mogą być zaimplementowane, natomiast w interfacie występują same deklaracje. 2. Można dziedziczyć tylko po jednej klasie abstrakcyjnej, można korzystać po wielu interfacach. 3. W interfacie nie możemy definiować fieldów. 4. W interfacie nie możemy używać żadnych modyfikatorów dostępu ponieważ wszystko w nim zadeklarowane jest publiczne. 5. Deklaracje w interfacie nie mogą być zdefiniowane jako static, virtual, abstract lub sealed. 6. W odróżnieniu od Interfejsu klasa abstrakcyjna nie jest kontraktem, który tylko mówi nam w jaki sposób metoda powinna się zachowywać. Klasa abstrakcyjna mówi nam również jak klasa ma się zachowywać, więc modyfikatory dostępu typu public, private mogą być w niej używane.;OOP;;false
Explain value type vs reference type.;A value type cannot be large in size because it is kept on a stack that has a predetermined size. The value type cannot change, a new object is created each time you try to change it. The reference pointer itself is held on the stack, but the object it points to is too large to hold on the stack, so it is put on the stack. For this reason, access to an object of a reference type is slower than that of a value type. We can modify an object of a reference type and assign it to different references without the need to copy.;Typ wartościowy nie może mieć dużego rozmiaru, ponieważ jest trzymany na stosie, który ma z góry określony rozmiar.  Typ wartościowy nie może ulec zmianie, przy każdej próbie zmiany tworzony jest nowy obiekt. Sam wskaźnik referencji jest trzymany na stosie, jednak obiekt na który wskazuje jest zbyt duży, żeby trzymać go na stosie, więc jest on umieszczany na stercie.  Z tego też powodu dostęp do obiektu typu referencyjnego jest wolniejszy niż typu wartościowego. Obiekt typu referencyjnego możemy modyfikować i przypisywać do różnych referencji bez potrzeby kopiowania.;OOP;;false
Difference between <header> and <h1>.;<header> is used to design the header as a whole with different element including logos or navigation bar. <h1> is the textual part only.;<header> służy do nagłówka jako całości z różnymi elementami, w tym logo lub paskiem nawigacyjnym. <h1> to tylko część tekstowa.;HTML;;true
What is Dummy?;Dummy is just an object that fills the place, a "clog". They don't do anything interesting, they are only used in place of real objects, i.e. a function that takes an object as a parameter but doesn't care what the object will be.;Dummy jest po prostu obiektem, który wypełnia miejsce, taka "zapchajdziura". Nie robią nic interesującego, są używane tylko w miejsce prawdziwych obiektów, tj. funkcja która jako parametr przyjmuje obiekt, ale nie obchodzi ją jaki będzie ten obiekt.;Testing;;false
What are the ways of up-down communication of components?;1. From parent to child through propercje with the Input () decorator. 2. From child to parent by emitting events. 3. From child to parent through a local variable in the parent's view #variable_name next to the child's html element. 4. From child to parent via parameter with @ViewChild decorator in component class. 5. By service. 6. Via Store if using NgRx.;1. Od parenta do childa przez propercje z dekoratorem Input(). 2. Od childa do parenta przez emittowanie eventów. 3. Od childa do parenta przez zmienną lokalną na widoku parenta #nazwa_zmiennej przy html elemencie dziecka. 4. Od childa do parenta przez parametr z dekoratorem @ViewChild w klasie komponentu. 5. Przez serwis. 6. Przez Store'a jeżeli używamy NgRx'a.;Angular;;true
What are Template Literals?;Template Literals is a format wrapped with backtick (`) characters, which allows for multiline strings and the ability to include variable values ​​in $ {} tags.;Template literals jest formatem określanym za pomocą znaków backtick(`), pozwalającym na multiline stringów i możliwością umieszczenia w nim wartości zmiennych w znacznikach ${}.;JavaScript;;true
What is interface? (interfejs);A structure that describes what methods and properties the objects will have inheriting from this structure.;Struktura, która opisuje jakie metody i propercje będzie miał obiekty dziedziczący po niej.;OOP;;true
What is Event Bubbling and if it works in Angular?;Event Bubbling is a propagation of an event up the DOM tree. If we have registered two events, e.g. click on the parent and on the child, then clicking on the child will start the child's event first, and then the parent's event. It works in Angular only for DOM events, custom events in the component do not propagate.;Event bubbling to propagowanie eventu w górę drzewa DOM. Jeżeli mamy zarejestrowane dwa eventy np. click na rodzicu i na dziecku to klikając w dziecko uruchomi się najpierw event dziecka, a później rodzica. Działa w Angularze tylko dla DOM eventów, customowe eventy w komponencie nie propagują.;Angular;;false
What is universal selector in CSS?;Is marked with asterisk. A universal selector is a selector that matches any element instead of selecting elements of a particular type.;Jest oznaczony gwiazdką. Selektor uniwersalny to selektor pasujący do dowolnego elementu zamiast wybierania elementów określonego typu.;CSS;;true
